,Date,S&P500
0,2014-08-21,1992.37
1,2014-08-22,1988.4
2,2014-08-25,1997.92
3,2014-08-26,2000.02
4,2014-08-27,2000.12
5,2014-08-28,1996.74
6,2014-08-29,2003.37
7,2014-09-02,2002.28
8,2014-09-03,2000.72
9,2014-09-04,1997.65
10,2014-09-05,2007.71
11,2014-09-08,2001.54
12,2014-09-09,1988.44
13,2014-09-10,1995.69
14,2014-09-11,1997.45
15,2014-09-12,1985.54
16,2014-09-15,1984.13
17,2014-09-16,1998.98
18,2014-09-17,2001.57
19,2014-09-18,2011.36
20,2014-09-19,2010.4
21,2014-09-22,1994.29
22,2014-09-23,1982.77
23,2014-09-24,1998.3
24,2014-09-25,1965.99
25,2014-09-26,1982.85
26,2014-09-29,1977.8
27,2014-09-30,1972.29
28,2014-10-01,1946.16
29,2014-10-02,1946.17
30,2014-10-03,1967.9
31,2014-10-06,1964.82
32,2014-10-07,1935.1
33,2014-10-08,1968.89
34,2014-10-09,1928.21
35,2014-10-10,1906.13
36,2014-10-13,1874.74
37,2014-10-14,1877.7
38,2014-10-15,1862.49
39,2014-10-16,1862.76
40,2014-10-17,1886.76
41,2014-10-20,1904.01
42,2014-10-21,1941.28
43,2014-10-22,1927.11
44,2014-10-23,1950.82
45,2014-10-24,1964.58
46,2014-10-27,1961.63
47,2014-10-28,1985.05
48,2014-10-29,1982.3
49,2014-10-30,1994.65
50,2014-10-31,2018.05
51,2014-11-03,2017.81
52,2014-11-04,2012.1
53,2014-11-05,2023.57
54,2014-11-06,2031.21
55,2014-11-07,2031.92
56,2014-11-10,2038.26
57,2014-11-11,2039.68
58,2014-11-12,2038.25
59,2014-11-13,2039.33
60,2014-11-14,2039.82
61,2014-11-17,2041.32
62,2014-11-18,2051.8
63,2014-11-19,2048.72
64,2014-11-20,2052.75
65,2014-11-21,2063.5
66,2014-11-24,2069.41
67,2014-11-25,2067.03
68,2014-11-26,2072.83
69,2014-11-28,2067.56
70,2014-12-01,2053.44
71,2014-12-02,2066.55
72,2014-12-03,2074.33
73,2014-12-04,2071.92
74,2014-12-05,2075.37
75,2014-12-08,2060.31
76,2014-12-09,2059.82
77,2014-12-10,2026.14
78,2014-12-11,2035.33
79,2014-12-12,2002.33
80,2014-12-15,1989.63
81,2014-12-16,1972.74
82,2014-12-17,2012.89
83,2014-12-18,2061.23
84,2014-12-19,2070.65
85,2014-12-22,2078.54
86,2014-12-23,2082.17
87,2014-12-24,2081.88
88,2014-12-26,2088.77
89,2014-12-29,2090.57
90,2014-12-30,2080.35
91,2014-12-31,2058.9
92,2015-01-02,2058.2
93,2015-01-05,2020.58
94,2015-01-06,2002.61
95,2015-01-07,2025.9
96,2015-01-08,2062.14
97,2015-01-09,2044.81
98,2015-01-12,2028.26
99,2015-01-13,2023.03
100,2015-01-14,2011.27
101,2015-01-15,1992.67
102,2015-01-16,2019.42
103,2015-01-20,2022.55
104,2015-01-21,2032.12
105,2015-01-22,2063.15
106,2015-01-23,2051.82
107,2015-01-26,2057.09
108,2015-01-27,2029.55
109,2015-01-28,2002.16
110,2015-01-29,2021.25
111,2015-01-30,1994.99
112,2015-02-02,2020.85
113,2015-02-03,2050.03
114,2015-02-04,2041.51
115,2015-02-05,2062.52
116,2015-02-06,2055.47
117,2015-02-09,2046.74
118,2015-02-10,2068.59
119,2015-02-11,2068.53
120,2015-02-12,2088.48
121,2015-02-13,2096.99
122,2015-02-17,2100.34
123,2015-02-18,2099.68
124,2015-02-19,2097.45
125,2015-02-20,2110.3
126,2015-02-23,2109.66
127,2015-02-24,2115.48
128,2015-02-25,2113.86
129,2015-02-26,2110.74
